Item1,Item2,confidence,lift
Organic Strawberries,Banana,0.211664979,1.44160709
Banana,Organic Strawberries,0.118728004,1.44160709
Organic Baby Spinach,Banana,0.212133251,1.444796395
Banana,Organic Baby Spinach,0.108683041,1.444796395
Bag of Organic Bananas,Organic Baby Spinach,0.133208417,1.770828623
Organic Baby Spinach,Bag of Organic Bananas,0.209006575,1.770828623
Banana,Large Lemon,0.087601849,1.822995284
Large Lemon,Banana,0.26766257,1.822995284
Organic Strawberries,Organic Baby Spinach,0.144326268,1.918625662
Organic Baby Spinach,Organic Strawberries,0.158014342,1.918625662
Strawberries,Banana,0.288935729,1.967882437
Banana,Strawberries,0.087890883,1.967882437
Bag of Organic Bananas,Organic Strawberries,0.163831565,1.989258954
Organic Strawberries,Bag of Organic Bananas,0.234787373,1.989258954
Banana,Organic Avocado,0.113193606,2.055949287
Organic Avocado,Banana,0.301866206,2.055949287
Organic Baby Spinach,Organic Hass Avocado,0.143632427,2.175898902
Organic Hass Avocado,Organic Baby Spinach,0.163679333,2.175898902
Organic Strawberries,Organic Hass Avocado,0.153615868,2.327138832
Organic Hass Avocado,Organic Strawberries,0.191658706,2.327138832
Bag of Organic Bananas,Organic Hass Avocado,0.163980959,2.484160406
Organic Hass Avocado,Bag of Organic Bananas,0.293199382,2.484160406
Bag of Organic Bananas,Organic Raspberries,0.107064543,2.512197131
Organic Raspberries,Bag of Organic Bananas,0.296508489,2.512197131
Banana,Organic Fuji Apple,0.071552298,2.577484177
Organic Fuji Apple,Banana,0.378440935,2.577484177
Organic Strawberries,Organic Raspberries,0.128940369,3.025498593
Organic Raspberries,Organic Strawberries,0.249174281,3.025498593
