Item1,Item2,confidence,lift
Banana,Cucumber Kirby,0.06684429391134786,2.2427658782264213
Cucumber Kirby,Banana,0.32929568426119044,2.2427658782264213
Bag of Organic Bananas,Organic Hass Avocado,0.16398095865090015,2.4841604063142837
Organic Hass Avocado,Bag of Organic Bananas,0.2931993824617321,2.4841604063142837
Bag of Organic Bananas,Organic Baby Spinach,0.1332084166814372,1.7708286228508512
Organic Baby Spinach,Bag of Organic Bananas,0.20900657515742635,1.7708286228508512
Bag of Organic Bananas,Organic Raspberries,0.10706454308358443,2.512197131299829
Organic Raspberries,Bag of Organic Bananas,0.2965084886012216,2.512197131299829
Bag of Organic Bananas,Organic Avocado,0.0606715114070848,1.1019840677846129
Organic Avocado,Bag of Organic Bananas,0.13006448671182907,1.1019840677846129
Bag of Organic Bananas,Organic Strawberries,0.16383156508748387,1.9892589541312344
Organic Strawberries,Bag of Organic Bananas,0.23478737340198927,1.9892589541312344
Bag of Organic Bananas,Organic Whole Milk,0.06988327045299167,1.6373525046540423
Organic Whole Milk,Bag of Organic Bananas,0.1932527150889625,1.6373525046540423
Bag of Organic Bananas,Large Lemon,0.05181677765679994,1.0783076199823258
Large Lemon,Bag of Organic Bananas,0.12727001343350416,1.0783076199823258
Bag of Organic Bananas,Organic Yellow Onion,0.06475577950522877,1.8406861680161952
Organic Yellow Onion,Bag of Organic Bananas,0.21725169050936152,1.8406861680161952
Bag of Organic Bananas,Strawberries,0.04656014989998228,1.0424847004435238
Strawberries,Bag of Organic Bananas,0.12304192177724246,1.0424847004435238
Bag of Organic Bananas,Organic Blueberries,0.058250829260881674,1.8558462621230811
Organic Blueberries,Bag of Organic Bananas,0.21904099937158417,1.8558462621230811
Bag of Organic Bananas,Organic Gala Apples,0.050054440027346624,2.213816811182659
Organic Gala Apples,Bag of Organic Bananas,0.26129138854008327,2.213816811182659
Bag of Organic Bananas,Organic Grape Tomatoes,0.04423568733699643,1.6805136514412116
Organic Grape Tomatoes,Bag of Organic Bananas,0.1983469197756534,1.6805136514412116
Bag of Organic Bananas,Organic Lemon,0.059377611222241916,2.1773176786156085
Organic Lemon,Bag of Organic Bananas,0.2569834851124919,2.1773176786156085
Bag of Organic Bananas,Organic Cucumber,0.05773681411895779,2.272715395536788
Organic Cucumber,Bag of Organic Bananas,0.26824304452679254,2.272715395536788
Bag of Organic Bananas,Organic Garlic,0.056288456182108225,1.653084594221293
Organic Garlic,Bag of Organic Bananas,0.19510953517764362,1.653084594221293
Bag of Organic Bananas,Organic Large Extra Fancy Fuji Apple,0.061623578862076825,2.641662519595606
Organic Large Extra Fancy Fuji Apple,Bag of Organic Bananas,0.31178897202008815,2.641662519595606
Bag of Organic Bananas,Limes,0.055232572861013345,1.2601443685837863
Limes,Bag of Organic Bananas,0.14873176053456977,1.2601443685837863
Bag of Organic Bananas,Apple Honeycrisp Organic,0.061740055199655634,2.367166435083753
Apple Honeycrisp Organic,Bag of Organic Bananas,0.27939086992391604,2.367166435083753
Bag of Organic Bananas,Organic Zucchini,0.05994226825006963,1.8331792195828407
Organic Zucchini,Bag of Organic Bananas,0.21636566372975544,1.8331792195828407
Organic Baby Spinach,Organic Hass Avocado,0.14363242684889058,2.175898901777081
Organic Hass Avocado,Organic Baby Spinach,0.16367933284135516,2.175898901777081
Organic Raspberries,Organic Hass Avocado,0.18801848488460973,2.84830677688555
