{24852} -> {21137} (conf: 0.119, supp: 0.018, lift: 1.445, conv: 1.042)
{21137} -> {24852} (conf: 0.212, supp: 0.018, lift: 1.445, conv: 1.083)
{24852} -> {21903} (conf: 0.108, supp: 0.016, lift: 1.447, conv: 1.038)
{21903} -> {24852} (conf: 0.213, supp: 0.016, lift: 1.447, conv: 1.083)
{21903} -> {13176} (conf: 0.207, supp: 0.016, lift: 1.758, conv: 1.113)
{13176} -> {21903} (conf: 0.132, supp: 0.016, lift: 1.758, conv: 1.065)
{47626} -> {24852} (conf: 0.264, supp: 0.013, lift: 1.797, conv: 1.159)
{24852} -> {47626} (conf: 0.087, supp: 0.013, lift: 1.797, conv: 1.042)
{21903} -> {21137} (conf: 0.158, supp: 0.012, lift: 1.910, conv: 1.089)
{21137} -> {21903} (conf: 0.143, supp: 0.012, lift: 1.910, conv: 1.080)
{24852} -> {16797} (conf: 0.088, supp: 0.013, lift: 1.976, conv: 1.048)
{16797} -> {24852} (conf: 0.290, supp: 0.013, lift: 1.976, conv: 1.202)
{21137} -> {13176} (conf: 0.235, supp: 0.019, lift: 1.993, conv: 1.153)
{13176} -> {21137} (conf: 0.164, supp: 0.019, lift: 1.993, conv: 1.098)
{47766} -> {24852} (conf: 0.299, supp: 0.016, lift: 2.037, conv: 1.217)
{24852} -> {47766} (conf: 0.111, supp: 0.016, lift: 2.037, conv: 1.064)
{47209} -> {21903} (conf: 0.162, supp: 0.011, lift: 2.160, conv: 1.104)
{21903} -> {47209} (conf: 0.142, supp: 0.011, lift: 2.160, conv: 1.089)
{47209} -> {21137} (conf: 0.192, supp: 0.013, lift: 2.323, conv: 1.135)
{21137} -> {47209} (conf: 0.153, supp: 0.013, lift: 2.323, conv: 1.103)
{47209} -> {13176} (conf: 0.291, supp: 0.019, lift: 2.472, conv: 1.245)
{13176} -> {47209} (conf: 0.162, supp: 0.019, lift: 2.472, conv: 1.115)
{27966} -> {13176} (conf: 0.295, supp: 0.012, lift: 2.508, conv: 1.252)
{13176} -> {27966} (conf: 0.106, supp: 0.012, lift: 2.508, conv: 1.071)
{28204} -> {24852} (conf: 0.379, supp: 0.010, lift: 2.577, conv: 1.373)
{24852} -> {28204} (conf: 0.071, supp: 0.010, lift: 2.577, conv: 1.047)
{27966} -> {21137} (conf: 0.249, supp: 0.011, lift: 3.020, conv: 1.222)
{21137} -> {27966} (conf: 0.128, supp: 0.011, lift: 3.020, conv: 1.098)
Time:  6.3729489
