{24852} -> {21137} (conf: 0.119, supp: 0.017, lift: 1.434, conv: 1.041)
{21137} -> {24852} (conf: 0.211, supp: 0.017, lift: 1.434, conv: 1.081)
{24852} -> {21903} (conf: 0.108, supp: 0.016, lift: 1.445, conv: 1.037)
{21903} -> {24852} (conf: 0.213, supp: 0.016, lift: 1.445, conv: 1.083)
{21903} -> {13176} (conf: 0.208, supp: 0.016, lift: 1.767, conv: 1.114)
{13176} -> {21903} (conf: 0.132, supp: 0.016, lift: 1.767, conv: 1.066)
{47626} -> {24852} (conf: 0.267, supp: 0.013, lift: 1.817, conv: 1.164)
{24852} -> {47626} (conf: 0.087, supp: 0.013, lift: 1.817, conv: 1.043)
{21903} -> {21137} (conf: 0.157, supp: 0.012, lift: 1.905, conv: 1.089)
{21137} -> {21903} (conf: 0.143, supp: 0.012, lift: 1.905, conv: 1.079)
{24852} -> {16797} (conf: 0.088, supp: 0.013, lift: 1.972, conv: 1.048)
{16797} -> {24852} (conf: 0.290, supp: 0.013, lift: 1.972, conv: 1.202)
{21137} -> {13176} (conf: 0.234, supp: 0.019, lift: 1.985, conv: 1.152)
{13176} -> {21137} (conf: 0.164, supp: 0.019, lift: 1.985, conv: 1.097)
{47766} -> {24852} (conf: 0.300, supp: 0.016, lift: 2.042, conv: 1.219)
{24852} -> {47766} (conf: 0.112, supp: 0.016, lift: 2.042, conv: 1.064)
{47209} -> {21903} (conf: 0.162, supp: 0.011, lift: 2.167, conv: 1.104)
{21903} -> {47209} (conf: 0.143, supp: 0.011, lift: 2.167, conv: 1.090)
{47209} -> {21137} (conf: 0.192, supp: 0.013, lift: 2.318, conv: 1.135)
{21137} -> {47209} (conf: 0.153, supp: 0.013, lift: 2.318, conv: 1.103)
{47209} -> {13176} (conf: 0.291, supp: 0.019, lift: 2.468, conv: 1.244)
{13176} -> {47209} (conf: 0.163, supp: 0.019, lift: 2.468, conv: 1.116)
{27966} -> {13176} (conf: 0.297, supp: 0.013, lift: 2.516, conv: 1.254)
{13176} -> {27966} (conf: 0.106, supp: 0.013, lift: 2.516, conv: 1.072)
{28204} -> {24852} (conf: 0.375, supp: 0.010, lift: 2.545, conv: 1.364)
{24852} -> {28204} (conf: 0.071, supp: 0.010, lift: 2.545, conv: 1.046)
{27966} -> {21137} (conf: 0.250, supp: 0.011, lift: 3.021, conv: 1.223)
{21137} -> {27966} (conf: 0.128, supp: 0.011, lift: 3.021, conv: 1.098)
Time:  13.209601099999999
