{24852} -> {21137} (conf: 0.119, supp: 0.017, lift: 1.442, conv: 1.041)
{21137} -> {24852} (conf: 0.212, supp: 0.017, lift: 1.442, conv: 1.082)
{24852} -> {21903} (conf: 0.109, supp: 0.016, lift: 1.445, conv: 1.038)
{21903} -> {24852} (conf: 0.212, supp: 0.016, lift: 1.445, conv: 1.083)
{21903} -> {13176} (conf: 0.209, supp: 0.016, lift: 1.771, conv: 1.115)
{13176} -> {21903} (conf: 0.133, supp: 0.016, lift: 1.771, conv: 1.067)
{47626} -> {24852} (conf: 0.268, supp: 0.013, lift: 1.823, conv: 1.165)
{24852} -> {47626} (conf: 0.088, supp: 0.013, lift: 1.823, conv: 1.043)
{21903} -> {21137} (conf: 0.158, supp: 0.012, lift: 1.919, conv: 1.090)
{21137} -> {21903} (conf: 0.144, supp: 0.012, lift: 1.919, conv: 1.081)
{24852} -> {16797} (conf: 0.088, supp: 0.013, lift: 1.968, conv: 1.047)
{16797} -> {24852} (conf: 0.289, supp: 0.013, lift: 1.968, conv: 1.200)
{21137} -> {13176} (conf: 0.235, supp: 0.019, lift: 1.989, conv: 1.153)
{13176} -> {21137} (conf: 0.164, supp: 0.019, lift: 1.989, conv: 1.097)
{47766} -> {24852} (conf: 0.302, supp: 0.017, lift: 2.056, conv: 1.222)
{24852} -> {47766} (conf: 0.113, supp: 0.017, lift: 2.056, conv: 1.066)
{47209} -> {21903} (conf: 0.164, supp: 0.011, lift: 2.176, conv: 1.106)
{21903} -> {47209} (conf: 0.144, supp: 0.011, lift: 2.176, conv: 1.091)
{47209} -> {21137} (conf: 0.192, supp: 0.013, lift: 2.327, conv: 1.135)
{21137} -> {47209} (conf: 0.154, supp: 0.013, lift: 2.327, conv: 1.104)
{47209} -> {13176} (conf: 0.293, supp: 0.019, lift: 2.484, conv: 1.248)
{13176} -> {47209} (conf: 0.164, supp: 0.019, lift: 2.484, conv: 1.117)
{27966} -> {13176} (conf: 0.297, supp: 0.013, lift: 2.512, conv: 1.254)
{13176} -> {27966} (conf: 0.107, supp: 0.013, lift: 2.512, conv: 1.072)
{28204} -> {24852} (conf: 0.378, supp: 0.011, lift: 2.577, conv: 1.373)
{24852} -> {28204} (conf: 0.072, supp: 0.011, lift: 2.577, conv: 1.047)
{27966} -> {21137} (conf: 0.249, supp: 0.011, lift: 3.025, conv: 1.222)
{21137} -> {27966} (conf: 0.129, supp: 0.011, lift: 3.025, conv: 1.099)
Time:  45.921873
