{24852} -> {21137} (conf: 0.119, supp: 0.017, lift: 1.440, conv: 1.041)
{21137} -> {24852} (conf: 0.212, supp: 0.017, lift: 1.440, conv: 1.082)
{24852} -> {21903} (conf: 0.108, supp: 0.016, lift: 1.443, conv: 1.037)
{21903} -> {24852} (conf: 0.212, supp: 0.016, lift: 1.443, conv: 1.083)
{21903} -> {13176} (conf: 0.209, supp: 0.016, lift: 1.770, conv: 1.115)
{13176} -> {21903} (conf: 0.133, supp: 0.016, lift: 1.770, conv: 1.067)
{47626} -> {24852} (conf: 0.268, supp: 0.013, lift: 1.819, conv: 1.165)
{24852} -> {47626} (conf: 0.087, supp: 0.013, lift: 1.819, conv: 1.043)
{21903} -> {21137} (conf: 0.158, supp: 0.012, lift: 1.914, conv: 1.089)
{21137} -> {21903} (conf: 0.144, supp: 0.012, lift: 1.914, conv: 1.080)
{24852} -> {16797} (conf: 0.088, supp: 0.013, lift: 1.968, conv: 1.047)
{16797} -> {24852} (conf: 0.289, supp: 0.013, lift: 1.968, conv: 1.200)
{21137} -> {13176} (conf: 0.235, supp: 0.019, lift: 1.991, conv: 1.153)
{13176} -> {21137} (conf: 0.164, supp: 0.019, lift: 1.991, conv: 1.098)
{47766} -> {24852} (conf: 0.302, supp: 0.017, lift: 2.052, conv: 1.222)
{24852} -> {47766} (conf: 0.113, supp: 0.017, lift: 2.052, conv: 1.065)
{47209} -> {21903} (conf: 0.163, supp: 0.011, lift: 2.168, conv: 1.105)
{21903} -> {47209} (conf: 0.143, supp: 0.011, lift: 2.168, conv: 1.090)
{47209} -> {21137} (conf: 0.191, supp: 0.013, lift: 2.318, conv: 1.134)
{21137} -> {47209} (conf: 0.153, supp: 0.013, lift: 2.318, conv: 1.103)
{47209} -> {13176} (conf: 0.293, supp: 0.019, lift: 2.485, conv: 1.248)
{13176} -> {47209} (conf: 0.164, supp: 0.019, lift: 2.485, conv: 1.117)
{27966} -> {13176} (conf: 0.298, supp: 0.013, lift: 2.524, conv: 1.256)
{13176} -> {27966} (conf: 0.107, supp: 0.013, lift: 2.524, conv: 1.073)
{28204} -> {24852} (conf: 0.379, supp: 0.011, lift: 2.574, conv: 1.372)
{24852} -> {28204} (conf: 0.071, supp: 0.011, lift: 2.574, conv: 1.047)
{27966} -> {21137} (conf: 0.249, supp: 0.011, lift: 3.022, conv: 1.222)
{21137} -> {27966} (conf: 0.129, supp: 0.011, lift: 3.022, conv: 1.099)
Time:  35.3989693
