{47626} -> {13176} (conf: 0.124, supp: 0.006, lift: 1.042, conv: 1.006)
{13176} -> {47626} (conf: 0.050, supp: 0.006, lift: 1.042, conv: 1.002)
{16797} -> {13176} (conf: 0.125, supp: 0.006, lift: 1.045, conv: 1.006)
{13176} -> {16797} (conf: 0.046, supp: 0.006, lift: 1.045, conv: 1.002)
{47209} -> {24852} (conf: 0.158, supp: 0.010, lift: 1.067, conv: 1.012)
{24852} -> {47209} (conf: 0.070, supp: 0.010, lift: 1.067, conv: 1.005)
{47766} -> {13176} (conf: 0.127, supp: 0.007, lift: 1.069, conv: 1.009)
{13176} -> {47766} (conf: 0.058, supp: 0.007, lift: 1.069, conv: 1.004)
{27966} -> {24852} (conf: 0.167, supp: 0.007, lift: 1.129, conv: 1.023)
{24852} -> {27966} (conf: 0.049, supp: 0.007, lift: 1.129, conv: 1.006)
{26209} -> {13176} (conf: 0.140, supp: 0.006, lift: 1.171, conv: 1.024)
{13176} -> {26209} (conf: 0.050, supp: 0.006, lift: 1.171, conv: 1.008)
{24964} -> {24852} (conf: 0.181, supp: 0.006, lift: 1.224, conv: 1.040)
{24852} -> {24964} (conf: 0.040, supp: 0.006, lift: 1.224, conv: 1.008)
{39275} -> {24852} (conf: 0.185, supp: 0.006, lift: 1.247, conv: 1.045)
{24852} -> {39275} (conf: 0.039, supp: 0.006, lift: 1.247, conv: 1.008)
{45007} -> {24852} (conf: 0.187, supp: 0.006, lift: 1.265, conv: 1.048)
{24852} -> {45007} (conf: 0.041, supp: 0.006, lift: 1.265, conv: 1.009)
{8277} -> {24852} (conf: 0.214, supp: 0.006, lift: 1.446, conv: 1.084)
{24852} -> {8277} (conf: 0.039, supp: 0.006, lift: 1.446, conv: 1.012)
{24852} -> {21903} (conf: 0.113, supp: 0.017, lift: 1.492, conv: 1.042)
{21903} -> {24852} (conf: 0.221, supp: 0.017, lift: 1.492, conv: 1.094)
{40706} -> {24852} (conf: 0.222, supp: 0.006, lift: 1.498, conv: 1.095)
{24852} -> {40706} (conf: 0.039, supp: 0.006, lift: 1.498, conv: 1.013)
{42265} -> {24852} (conf: 0.222, supp: 0.005, lift: 1.499, conv: 1.095)
{24852} -> {42265} (conf: 0.037, supp: 0.005, lift: 1.499, conv: 1.013)
{26209} -> {24852} (conf: 0.222, supp: 0.010, lift: 1.501, conv: 1.095)
{24852} -> {26209} (conf: 0.064, supp: 0.010, lift: 1.501, conv: 1.023)
{37646} -> {24852} (conf: 0.223, supp: 0.005, lift: 1.505, conv: 1.096)
{24852} -> {37646} (conf: 0.036, supp: 0.005, lift: 1.505, conv: 1.013)
{44632} -> {24852} (conf: 0.224, supp: 0.005, lift: 1.512, conv: 1.098)
{24852} -> {44632} (conf: 0.036, supp: 0.005, lift: 1.512, conv: 1.013)
{27845} -> {24852} (conf: 0.224, supp: 0.009, lift: 1.515, conv: 1.098)
