{24852} -> {21137} (conf: 0.118, supp: 0.017, lift: 1.442, conv: 1.041)
{21137} -> {24852} (conf: 0.213, supp: 0.017, lift: 1.442, conv: 1.083)
{24852} -> {21903} (conf: 0.110, supp: 0.016, lift: 1.457, conv: 1.039)
{21903} -> {24852} (conf: 0.215, supp: 0.016, lift: 1.457, conv: 1.086)
{21903} -> {13176} (conf: 0.207, supp: 0.016, lift: 1.760, conv: 1.113)
{13176} -> {21903} (conf: 0.132, supp: 0.016, lift: 1.760, conv: 1.066)
{47626} -> {24852} (conf: 0.266, supp: 0.013, lift: 1.804, conv: 1.162)
{24852} -> {47626} (conf: 0.087, supp: 0.013, lift: 1.804, conv: 1.043)
{21903} -> {21137} (conf: 0.157, supp: 0.012, lift: 1.918, conv: 1.089)
{21137} -> {21903} (conf: 0.144, supp: 0.012, lift: 1.918, conv: 1.081)
{21137} -> {13176} (conf: 0.234, supp: 0.019, lift: 1.989, conv: 1.152)
{13176} -> {21137} (conf: 0.163, supp: 0.019, lift: 1.989, conv: 1.097)
{24852} -> {16797} (conf: 0.090, supp: 0.013, lift: 1.996, conv: 1.049)
{16797} -> {24852} (conf: 0.295, supp: 0.013, lift: 1.996, conv: 1.209)
{47766} -> {24852} (conf: 0.302, supp: 0.016, lift: 2.043, conv: 1.221)
{24852} -> {47766} (conf: 0.111, supp: 0.016, lift: 2.043, conv: 1.064)
{47209} -> {21903} (conf: 0.160, supp: 0.010, lift: 2.127, conv: 1.101)
{21903} -> {47209} (conf: 0.139, supp: 0.010, lift: 2.127, conv: 1.086)
{47209} -> {21137} (conf: 0.193, supp: 0.013, lift: 2.353, conv: 1.137)
{21137} -> {47209} (conf: 0.154, supp: 0.013, lift: 2.353, conv: 1.104)
{47209} -> {13176} (conf: 0.292, supp: 0.019, lift: 2.477, conv: 1.246)
{13176} -> {47209} (conf: 0.162, supp: 0.019, lift: 2.477, conv: 1.115)
{27966} -> {13176} (conf: 0.294, supp: 0.012, lift: 2.496, conv: 1.249)
{13176} -> {27966} (conf: 0.105, supp: 0.012, lift: 2.496, conv: 1.070)
{28204} -> {24852} (conf: 0.380, supp: 0.011, lift: 2.576, conv: 1.375)
{24852} -> {28204} (conf: 0.071, supp: 0.011, lift: 2.576, conv: 1.047)
{27966} -> {21137} (conf: 0.245, supp: 0.010, lift: 2.988, conv: 1.216)
{21137} -> {27966} (conf: 0.125, supp: 0.010, lift: 2.988, conv: 1.095)
Time:  2.1781852
