{24852} -> {22935} (conf: 0.034, supp: 0.005, lift: 0.980, conv: 0.999)
{22935} -> {24852} (conf: 0.145, supp: 0.005, lift: 0.980, conv: 0.997)
{47209} -> {24852} (conf: 0.151, supp: 0.010, lift: 1.023, conv: 1.004)
{24852} -> {47209} (conf: 0.067, supp: 0.010, lift: 1.023, conv: 1.002)
{16797} -> {13176} (conf: 0.123, supp: 0.006, lift: 1.045, conv: 1.006)
{13176} -> {16797} (conf: 0.047, supp: 0.006, lift: 1.045, conv: 1.002)
{47766} -> {13176} (conf: 0.128, supp: 0.007, lift: 1.091, conv: 1.012)
{13176} -> {47766} (conf: 0.059, supp: 0.007, lift: 1.091, conv: 1.005)
{47626} -> {13176} (conf: 0.130, supp: 0.006, lift: 1.102, conv: 1.014)
{13176} -> {47626} (conf: 0.053, supp: 0.006, lift: 1.102, conv: 1.005)
{27966} -> {24852} (conf: 0.170, supp: 0.007, lift: 1.150, conv: 1.027)
{24852} -> {27966} (conf: 0.048, supp: 0.007, lift: 1.150, conv: 1.007)
{24964} -> {24852} (conf: 0.180, supp: 0.006, lift: 1.219, conv: 1.039)
{24852} -> {24964} (conf: 0.042, supp: 0.006, lift: 1.219, conv: 1.008)
{26209} -> {13176} (conf: 0.147, supp: 0.006, lift: 1.252, conv: 1.035)
{13176} -> {26209} (conf: 0.055, supp: 0.006, lift: 1.252, conv: 1.012)
{45007} -> {24852} (conf: 0.185, supp: 0.006, lift: 1.256, conv: 1.046)
{24852} -> {45007} (conf: 0.041, supp: 0.006, lift: 1.256, conv: 1.009)
{39275} -> {24852} (conf: 0.187, supp: 0.006, lift: 1.268, conv: 1.049)
{24852} -> {39275} (conf: 0.040, supp: 0.006, lift: 1.268, conv: 1.009)
{47626} -> {21137} (conf: 0.108, supp: 0.005, lift: 1.320, conv: 1.029)
{21137} -> {47626} (conf: 0.064, supp: 0.005, lift: 1.320, conv: 1.017)
{44632} -> {24852} (conf: 0.211, supp: 0.005, lift: 1.427, conv: 1.080)
{24852} -> {44632} (conf: 0.034, supp: 0.005, lift: 1.427, conv: 1.011)
{8277} -> {24852} (conf: 0.212, supp: 0.006, lift: 1.433, conv: 1.081)
{24852} -> {8277} (conf: 0.037, supp: 0.006, lift: 1.433, conv: 1.012)
{24852} -> {21137} (conf: 0.118, supp: 0.017, lift: 1.442, conv: 1.041)
{21137} -> {24852} (conf: 0.213, supp: 0.017, lift: 1.442, conv: 1.083)
{24852} -> {21903} (conf: 0.110, supp: 0.016, lift: 1.457, conv: 1.039)
{21903} -> {24852} (conf: 0.215, supp: 0.016, lift: 1.457, conv: 1.086)
{42265} -> {24852} (conf: 0.221, supp: 0.005, lift: 1.497, conv: 1.094)
{24852} -> {42265} (conf: 0.036, supp: 0.005, lift: 1.497, conv: 1.012)
{40706} -> {24852} (conf: 0.222, supp: 0.006, lift: 1.504, conv: 1.096)
{24852} -> {40706} (conf: 0.039, supp: 0.006, lift: 1.504, conv: 1.014)
{26209} -> {24852} (conf: 0.226, supp: 0.010, lift: 1.531, conv: 1.101)
{24852} -> {26209} (conf: 0.067, supp: 0.010, lift: 1.531, conv: 1.025)
{27845} -> {24852} (conf: 0.231, supp: 0.010, lift: 1.566, conv: 1.109)
{24852} -> {27845} (conf: 0.067, supp: 0.010, lift: 1.566, conv: 1.026)
{37646} -> {24852} (conf: 0.233, supp: 0.005, lift: 1.580, conv: 1.112)
{24852} -> {37646} (conf: 0.036, supp: 0.005, lift: 1.580, conv: 1.014)
{27845} -> {21903} (conf: 0.120, supp: 0.005, lift: 1.599, conv: 1.051)
{21903} -> {27845} (conf: 0.068, supp: 0.005, lift: 1.599, conv: 1.027)
{47766} -> {21137} (conf: 0.133, supp: 0.007, lift: 1.627, conv: 1.059)
{21137} -> {47766} (conf: 0.089, supp: 0.007, lift: 1.627, conv: 1.037)
{26209} -> {21137} (conf: 0.134, supp: 0.006, lift: 1.641, conv: 1.061)
{21137} -> {26209} (conf: 0.072, supp: 0.006, lift: 1.641, conv: 1.030)
{27845} -> {13176} (conf: 0.195, supp: 0.008, lift: 1.652, conv: 1.095)
{13176} -> {27845} (conf: 0.070, supp: 0.008, lift: 1.652, conv: 1.030)
{24964} -> {13176} (conf: 0.196, supp: 0.007, lift: 1.668, conv: 1.098)
{13176} -> {24964} (conf: 0.057, supp: 0.007, lift: 1.668, conv: 1.024)
{40706} -> {13176} (conf: 0.197, supp: 0.005, lift: 1.672, conv: 1.099)
{13176} -> {40706} (conf: 0.044, supp: 0.005, lift: 1.672, conv: 1.018)
{27966} -> {21903} (conf: 0.128, supp: 0.005, lift: 1.696, conv: 1.060)
{21903} -> {27966} (conf: 0.071, supp: 0.005, lift: 1.696, conv: 1.031)
{30489} -> {24852} (conf: 0.257, supp: 0.006, lift: 1.743, conv: 1.148)
{24852} -> {30489} (conf: 0.039, supp: 0.006, lift: 1.743, conv: 1.017)
{21903} -> {13176} (conf: 0.207, supp: 0.016, lift: 1.760, conv: 1.113)
{13176} -> {21903} (conf: 0.132, supp: 0.016, lift: 1.760, conv: 1.066)
{47626} -> {24852} (conf: 0.266, supp: 0.013, lift: 1.804, conv: 1.162)
{24852} -> {47626} (conf: 0.087, supp: 0.013, lift: 1.804, conv: 1.043)
{22935} -> {21137} (conf: 0.148, supp: 0.005, lift: 1.804, conv: 1.077)
{21137} -> {22935} (conf: 0.063, supp: 0.005, lift: 1.804, conv: 1.030)
{45007} -> {13176} (conf: 0.213, supp: 0.007, lift: 1.810, conv: 1.121)
{13176} -> {45007} (conf: 0.059, supp: 0.007, lift: 1.810, conv: 1.028)
{22935} -> {13176} (conf: 0.215, supp: 0.007, lift: 1.824, conv: 1.124)
{13176} -> {22935} (conf: 0.064, supp: 0.007, lift: 1.824, conv: 1.031)
{39275} -> {13176} (conf: 0.219, supp: 0.007, lift: 1.860, conv: 1.130)
{13176} -> {39275} (conf: 0.058, supp: 0.007, lift: 1.860, conv: 1.028)
{21903} -> {21137} (conf: 0.157, supp: 0.012, lift: 1.918, conv: 1.089)
{21137} -> {21903} (conf: 0.144, supp: 0.012, lift: 1.918, conv: 1.081)
{21137} -> {13176} (conf: 0.234, supp: 0.019, lift: 1.989, conv: 1.152)
{13176} -> {21137} (conf: 0.163, supp: 0.019, lift: 1.989, conv: 1.097)
{9076} -> {24852} (conf: 0.294, supp: 0.005, lift: 1.990, conv: 1.207)
{24852} -> {9076} (conf: 0.035, supp: 0.005, lift: 1.990, conv: 1.018)
{4605} -> {24852} (conf: 0.294, supp: 0.007, lift: 1.992, conv: 1.207)
{24852} -> {4605} (conf: 0.046, supp: 0.007, lift: 1.992, conv: 1.024)
{24852} -> {16797} (conf: 0.090, supp: 0.013, lift: 1.996, conv: 1.049)
{16797} -> {24852} (conf: 0.295, supp: 0.013, lift: 1.996, conv: 1.209)
{4920} -> {24852} (conf: 0.298, supp: 0.008, lift: 2.017, conv: 1.214)
{24852} -> {4920} (conf: 0.053, supp: 0.008, lift: 2.017, conv: 1.028)
{26209} -> {21903} (conf: 0.152, supp: 0.007, lift: 2.019, conv: 1.090)
{21903} -> {26209} (conf: 0.088, supp: 0.007, lift: 2.019, conv: 1.049)
{47766} -> {24852} (conf: 0.302, supp: 0.016, lift: 2.043, conv: 1.221)
{24852} -> {47766} (conf: 0.111, supp: 0.016, lift: 2.043, conv: 1.064)
{47626} -> {21903} (conf: 0.156, supp: 0.008, lift: 2.076, conv: 1.096)
