{47209} -> {24852} (conf: 0.158, supp: 0.010, lift: 1.067, conv: 1.012)
{24852} -> {47209} (conf: 0.070, supp: 0.010, lift: 1.067, conv: 1.005)
{24852} -> {21903} (conf: 0.113, supp: 0.017, lift: 1.492, conv: 1.042)
{21903} -> {24852} (conf: 0.221, supp: 0.017, lift: 1.492, conv: 1.094)
{24852} -> {21137} (conf: 0.125, supp: 0.019, lift: 1.519, conv: 1.049)
{21137} -> {24852} (conf: 0.225, supp: 0.019, lift: 1.519, conv: 1.099)
{21903} -> {13176} (conf: 0.212, supp: 0.016, lift: 1.777, conv: 1.117)
{13176} -> {21903} (conf: 0.135, supp: 0.016, lift: 1.777, conv: 1.068)
{47626} -> {24852} (conf: 0.266, supp: 0.013, lift: 1.799, conv: 1.161)
{24852} -> {47626} (conf: 0.086, supp: 0.013, lift: 1.799, conv: 1.042)
{21903} -> {21137} (conf: 0.156, supp: 0.012, lift: 1.899, conv: 1.088)
{21137} -> {21903} (conf: 0.144, supp: 0.012, lift: 1.899, conv: 1.079)
{21137} -> {13176} (conf: 0.229, supp: 0.019, lift: 1.924, conv: 1.143)
{13176} -> {21137} (conf: 0.158, supp: 0.019, lift: 1.924, conv: 1.090)
{24852} -> {16797} (conf: 0.086, supp: 0.013, lift: 1.936, conv: 1.045)
{16797} -> {24852} (conf: 0.287, supp: 0.013, lift: 1.936, conv: 1.194)
{47766} -> {24852} (conf: 0.303, supp: 0.016, lift: 2.045, conv: 1.222)
{24852} -> {47766} (conf: 0.110, supp: 0.016, lift: 2.045, conv: 1.063)
{47209} -> {21903} (conf: 0.157, supp: 0.010, lift: 2.067, conv: 1.096)
{21903} -> {47209} (conf: 0.136, supp: 0.010, lift: 2.067, conv: 1.082)
{47209} -> {21137} (conf: 0.191, supp: 0.013, lift: 2.319, conv: 1.134)
{21137} -> {47209} (conf: 0.153, supp: 0.013, lift: 2.319, conv: 1.103)
{47209} -> {13176} (conf: 0.292, supp: 0.019, lift: 2.452, conv: 1.244)
{13176} -> {47209} (conf: 0.162, supp: 0.019, lift: 2.452, conv: 1.114)
{28204} -> {24852} (conf: 0.369, supp: 0.010, lift: 2.494, conv: 1.351)
{24852} -> {28204} (conf: 0.070, supp: 0.010, lift: 2.494, conv: 1.045)
{27966} -> {13176} (conf: 0.306, supp: 0.013, lift: 2.565, conv: 1.268)
{13176} -> {27966} (conf: 0.111, supp: 0.013, lift: 2.565, conv: 1.076)
Time:  0.4153605
