{47209} -> {24852} (conf: 0.157, supp: 0.010, lift: 1.062, conv: 1.011)
{24852} -> {47209} (conf: 0.071, supp: 0.010, lift: 1.062, conv: 1.004)
{24852} -> {21137} (conf: 0.120, supp: 0.018, lift: 1.487, conv: 1.045)
{21137} -> {24852} (conf: 0.220, supp: 0.018, lift: 1.487, conv: 1.093)
{24852} -> {21903} (conf: 0.112, supp: 0.017, lift: 1.489, conv: 1.041)
{21903} -> {24852} (conf: 0.220, supp: 0.017, lift: 1.489, conv: 1.093)
{47626} -> {24852} (conf: 0.255, supp: 0.012, lift: 1.722, conv: 1.144)
{24852} -> {47626} (conf: 0.081, supp: 0.012, lift: 1.722, conv: 1.037)
{21903} -> {13176} (conf: 0.215, supp: 0.016, lift: 1.800, conv: 1.122)
{13176} -> {21903} (conf: 0.135, supp: 0.016, lift: 1.800, conv: 1.069)
{24852} -> {16797} (conf: 0.086, supp: 0.013, lift: 1.904, conv: 1.045)
{16797} -> {24852} (conf: 0.282, supp: 0.013, lift: 1.904, conv: 1.186)
{21137} -> {13176} (conf: 0.236, supp: 0.019, lift: 1.971, conv: 1.152)
{13176} -> {21137} (conf: 0.159, supp: 0.019, lift: 1.971, conv: 1.093)
{21903} -> {21137} (conf: 0.160, supp: 0.012, lift: 1.984, conv: 1.094)
{21137} -> {21903} (conf: 0.149, supp: 0.012, lift: 1.984, conv: 1.087)
{47766} -> {24852} (conf: 0.299, supp: 0.016, lift: 2.019, conv: 1.215)
{24852} -> {47766} (conf: 0.110, supp: 0.016, lift: 2.019, conv: 1.062)
{47209} -> {21903} (conf: 0.152, supp: 0.010, lift: 2.020, conv: 1.090)
{21903} -> {47209} (conf: 0.134, supp: 0.010, lift: 2.020, conv: 1.078)
{49683} -> {24852} (conf: 0.340, supp: 0.010, lift: 2.297, conv: 1.291)
{24852} -> {49683} (conf: 0.070, supp: 0.010, lift: 2.297, conv: 1.043)
{47209} -> {21137} (conf: 0.191, supp: 0.013, lift: 2.371, conv: 1.136)
{21137} -> {47209} (conf: 0.158, supp: 0.013, lift: 2.371, conv: 1.108)
{47209} -> {13176} (conf: 0.285, supp: 0.019, lift: 2.380, conv: 1.231)
{13176} -> {47209} (conf: 0.158, supp: 0.019, lift: 2.380, conv: 1.109)
{28204} -> {24852} (conf: 0.370, supp: 0.010, lift: 2.496, conv: 1.352)
{24852} -> {28204} (conf: 0.069, supp: 0.010, lift: 2.496, conv: 1.045)
{27966} -> {13176} (conf: 0.301, supp: 0.013, lift: 2.514, conv: 1.259)
{13176} -> {27966} (conf: 0.109, supp: 0.013, lift: 2.514, conv: 1.074)
Time:  0.1968513
