item: ('21267',) , 0.005
item: ('20119',) , 0.005
item: ('30169',) , 0.005
item: ('30391', '21137') , 0.005
item: ('18441',) , 0.005
item: ('13176', '40706') , 0.005
item: ('21903', '49683') , 0.005
item: ('25340',) , 0.005
item: ('5818',) , 0.005
item: ('48205',) , 0.005
item: ('26790',) , 0.005
item: ('34448',) , 0.005
item: ('44359', '13176') , 0.005
item: ('34050',) , 0.005
item: ('13646',) , 0.005
item: ('21903', '40706') , 0.005
item: ('45535',) , 0.005
item: ('24852', '9076') , 0.005
item: ('24799',) , 0.005
item: ('8277', '21137') , 0.005
item: ('32478',) , 0.005
item: ('5876', '21137') , 0.005
item: ('45007', '21137') , 0.005
item: ('22935', '21137') , 0.005
item: ('15937',) , 0.005
item: ('24964', '21137') , 0.005
item: ('21019',) , 0.005
item: ('30391', '47209') , 0.005
item: ('24852', '37646') , 0.005
item: ('21903', '30391') , 0.005
item: ('35547',) , 0.005
item: ('10957',) , 0.005
item: ('18027',) , 0.005
item: ('44632', '24852') , 0.005
item: ('26283',) , 0.005
item: ('38400',) , 0.005
item: ('31040',) , 0.005
item: ('1158',) , 0.005
item: ('24852', '42265') , 0.005
item: ('17872',) , 0.005
item: ('45007', '47209') , 0.005
item: ('13984',) , 0.005
item: ('14084',) , 0.005
item: ('48745',) , 0.005
item: ('43713',) , 0.006
item: ('45603',) , 0.006
item: ('42450',) , 0.006
item: ('38739',) , 0.006
item: ('13176', '16797') , 0.006
item: ('31717', '26209') , 0.006
item: ('44987',) , 0.006
item: ('18370',) , 0.006
item: ('7021',) , 0.006
item: ('21903', '27966') , 0.006
item: ('28465',) , 0.006
item: ('16349',) , 0.006
item: ('2966',) , 0.006
item: ('47209', '24964') , 0.006
item: ('42342',) , 0.006
item: ('10132',) , 0.006
item: ('40571',) , 0.006
item: ('41665',) , 0.006
item: ('17461',) , 0.006
item: ('25931',) , 0.006
item: ('37158',) , 0.006
item: ('24852', '40706') , 0.006
item: ('40396',) , 0.006
item: ('24852', '8277') , 0.006
item: ('47209', '26209') , 0.006
item: ('32864',) , 0.006
item: ('43154',) , 0.006
item: ('26209', '21137') , 0.006
item: ('24852', '39275') , 0.006
item: ('21903', '22935') , 0.006
item: ('2086',) , 0.006
item: ('19048',) , 0.006
item: ('22935', '47209') , 0.006
item: ('3952',) , 0.006
item: ('47626', '13176') , 0.006
